Longitude,Latitude,CNTY_NM,
-95.43844,32.06691,Anderson,"(-95.4384400009999, 32.066910002)"
-95.4385,32.06634,Anderson,"(-95.4384999989999, 32.066340001)"
-95.4385,32.06603,Anderson,"(-95.4385000029999, 32.066030001)"
-95.43841,32.06575,Anderson,"(-95.4384100009999, 32.065750003)"
-95.43821,32.06535,Anderson,"(-95.4382099989999, 32.065349998)"
-95.43798,32.06498,Anderson,"(-95.4379799989999, 32.064979999)"
-95.43772,32.06466,Anderson,"(-95.4377200019999, 32.064659998)"
-95.43744001,32.06435,Anderson,"(-95.4374400059999, 32.064349997)"
-95.43700999,32.06398,Anderson,"(-95.4370099939999, 32.06398)"
-95.43665,32.0637,Anderson,"(-95.4366499979999, 32.063700004)"
-95.43615,32.06333,Anderson,"(-95.4361499979999, 32.063329999)"
-95.43599,32.06324,Anderson,"(-95.4359900009999, 32.063240001)"
-95.43552999,32.06307,Anderson,"(-95.4355299939999, 32.063070002)"
-95.43537,32.06302,Anderson,"(-95.4353699989999, 32.063020001)"
-95.43528,32.06298,Anderson,"(-95.4352800009999, 32.062980001)"
-95.43506,32.06289,Anderson,"(-95.4350599989999, 32.062890001)"
-95.43452,32.06268,Anderson,"(-95.4345199999999, 32.062679999)"
-95.4343,32.06257,Anderson,"(-95.4343000019999, 32.062570001)"
-95.43384,32.06233,Anderson,"(-95.4338400029999, 32.062329996)"
-95.43344,32.06212,Anderson,"(-95.4334399979999, 32.062119999)"
-95.43333,32.06205,Anderson,"(-95.4333300009999, 32.062050001)"
-95.43304,32.06186,Anderson,"(-95.4330399999999, 32.061859997)"
-95.43280999,32.06168,Anderson,"(-95.4328099949999, 32.061680001)"
-95.43274,32.06164,Anderson,"(-95.4327400009999, 32.061640001)"
-95.4325,32.06147,Anderson,"(-95.4325000039999, 32.06147)"
-95.43238,32.06133,Anderson,"(-95.4323799979999, 32.06133)"
-95.43225,32.0611,Anderson,"(-95.4322500039999, 32.061099999)"
-95.43224,32.06091,Anderson,"(-95.4322400009999, 32.060910001)"
-95.43231,32.06065,Anderson,"(-95.4323099959999, 32.06065)"
-95.43234,32.06051,Anderson,"(-95.4323399979999, 32.060510001)"
-95.43247,32.06035,Anderson,"(-95.4324700039999, 32.060350002)"
-95.43251,32.06025,Anderson,"(-95.4325099999999, 32.060250001)"
-95.43248,32.06003,Anderson,"(-95.4324799979999, 32.06003)"
-95.43249,32.05984,Anderson,"(-95.4324900019999, 32.059840002)"
-95.43248,32.05962,Anderson,"(-95.4324800019999, 32.059620001)"
-95.43254,32.0594,Anderson,"(-95.4325399999999, 32.059399998)"
-95.43266,32.05917,Anderson,"(-95.4326599999999, 32.059170002)"
-95.43273,32.05905,Anderson,"(-95.4327299999999, 32.059050002)"
-95.43284,32.05896,Anderson,"(-95.4328400009999, 32.05896)"
-95.43291,32.05893,Anderson,"(-95.4329100009999, 32.058929999)"
-95.43299,32.05886,Anderson,"(-95.4329899969999, 32.058859998)"
-95.43313,32.05877,Anderson,"(-95.4331299989999, 32.058770001)"
-95.43322,32.05873,Anderson,"(-95.4332200039999, 32.058730003)"
-95.43331,32.05868,Anderson,"(-95.4333100029999, 32.058680003)"
-95.4335,32.05864,Anderson,"(-95.4335000029999, 32.058640002)"
-95.43376,32.05853,Anderson,"(-95.4337600019999, 32.058529997)"
-95.4339,32.05849,Anderson,"(-95.4338999989999, 32.058489999)"
-95.43403,32.05845,Anderson,"(-95.4340299999999, 32.05845)"
-95.43434,32.0583,Anderson,"(-95.4343400009999, 32.058299999)"
-95.43464,32.05823,Anderson,"(-95.4346400009999, 32.058230002)"
-95.43496,32.05814999,Anderson,"(-95.4349600009999, 32.058149994)"
-95.43541,32.05811,Anderson,"(-95.4354100009999, 32.058109995)"
-95.43603,32.058,Anderson,"(-95.4360300039999, 32.058000001)"
-95.43637,32.05796,Anderson,"(-95.4363700039999, 32.057959996)"
-95.43655,32.05789,Anderson,"(-95.4365499999999, 32.05789)"
-95.43662,32.05786,Anderson,"(-95.4366199989999, 32.057860003)"
-95.43668,32.05783,Anderson,"(-95.4366800019999, 32.057830003)"
-95.43674,32.05779,Anderson,"(-95.4367399979999, 32.05779)"
-95.43679,32.05775,Anderson,"(-95.4367899999999, 32.057749998)"
-95.43689,32.05765,Anderson,"(-95.4368900049999, 32.057650003)"
-95.43679,32.05695,Anderson,"(-95.4367899989999, 32.056950003)"
-95.43658,32.0561,Anderson,"(-95.4365800049999, 32.056099995)"
-95.43647,32.05562,Anderson,"(-95.4364700009999, 32.055619997)"
-95.43639,32.0553,Anderson,"(-95.4363900019999, 32.055300002)"
