Longitude,Latitude,CNTY_NM,
-95.42925,31.91337,Anderson,"(-95.4292499979999, 31.913370001)"
-95.42915,31.91318,Anderson,"(-95.4291499959999, 31.913180001)"
-95.42904,31.9131,Anderson,"(-95.4290400029999, 31.913099997)"
-95.42902,31.91291,Anderson,"(-95.4290199999999, 31.912910001)"
-95.42914,31.91289,Anderson,"(-95.4291399989999, 31.912889998)"
-95.42927,31.91287,Anderson,"(-95.4292700009999, 31.912870001)"
-95.42938,31.91287,Anderson,"(-95.4293799979999, 31.912870003)"
-95.42963,31.91292,Anderson,"(-95.4296300019999, 31.912919999)"
-95.43036,31.91303,Anderson,"(-95.4303600049999, 31.913029999)"
-95.43066,31.91313,Anderson,"(-95.4306600039999, 31.913129999)"
-95.43077,31.91318,Anderson,"(-95.4307700009999, 31.913180002)"
-95.43102,31.91329,Anderson,"(-95.4310199959999, 31.913290002)"
-95.43118999,31.91341,Anderson,"(-95.4311899939999, 31.91341)"
-95.43125,31.91345,Anderson,"(-95.4312499969999, 31.913450001)"
-95.43142,31.91357,Anderson,"(-95.4314199959999, 31.913570003)"
-95.43155,31.9137,Anderson,"(-95.4315499999999, 31.913699998)"
-95.43166,31.91371,Anderson,"(-95.4316600049999, 31.91371)"
-95.43172,31.91371,Anderson,"(-95.4317200029999, 31.913710001)"
-95.43181,31.91355,Anderson,"(-95.4318100019999, 31.913549999)"
-95.43173,31.91301,Anderson,"(-95.4317300039999, 31.913009999)"
-95.43157,31.91286,Anderson,"(-95.4315699999999, 31.912859999)"
-95.43146,31.91281,Anderson,"(-95.4314599959999, 31.912810002)"
-95.43129,31.91272,Anderson,"(-95.4312900029999, 31.912720004)"
-95.43123,31.91258,Anderson,"(-95.4312299999999, 31.912580003)"
-95.43118,31.91248,Anderson,"(-95.4311799999999, 31.912479997)"
-95.4311,31.91162,Anderson,"(-95.4311000019999, 31.91162)"
-95.43112,31.91123,Anderson,"(-95.4311200029999, 31.911229998)"
-95.43094,31.91103,Anderson,"(-95.4309400009999, 31.911030004)"
-95.43067,31.91066,Anderson,"(-95.4306700039999, 31.910660003)"
-95.43023,31.90997,Anderson,"(-95.4302299989999, 31.909970002)"
-95.42998,31.90959,Anderson,"(-95.4299800009999, 31.909590001)"
-95.42982,31.90925999,Anderson,"(-95.4298199969999, 31.909259993)"
-95.42977,31.9091,Anderson,"(-95.4297699989999, 31.909100004)"
-95.42981,31.9089,Anderson,"(-95.4298100019999, 31.908899998)"
-95.42994,31.90881,Anderson,"(-95.4299400019999, 31.908810001)"
-95.43017,31.90871,Anderson,"(-95.4301700029999, 31.90871)"
-95.43023999,31.90871,Anderson,"(-95.4302399939999, 31.908709997)"
-95.43039,31.90871,Anderson,"(-95.4303899989999, 31.908709999)"
-95.43052,31.90866,Anderson,"(-95.4305199979999, 31.908659995)"
-95.43056,31.90856,Anderson,"(-95.4305599979999, 31.908560004)"
-95.43031,31.90835,Anderson,"(-95.4303100039999, 31.908349999)"
-95.43024,31.90829,Anderson,"(-95.4302399999999, 31.908289999)"
-95.43009,31.90811,Anderson,"(-95.4300899989999, 31.908109999)"
-95.42988,31.90784,Anderson,"(-95.4298799999999, 31.90784)"
-95.42969,31.90714,Anderson,"(-95.4296900019999, 31.907139999)"
-95.42964,31.90697,Anderson,"(-95.4296399999999, 31.906970001)"
-95.42949,31.90692,Anderson,"(-95.4294900039999, 31.906920002)"
-95.42917001,31.9068,Anderson,"(-95.4291700059999, 31.906799999)"
-95.42883,31.90661,Anderson,"(-95.4288300009999, 31.906610003)"
-95.4287,31.90649,Anderson,"(-95.4286999989999, 31.906490001)"
-95.42858,31.90627,Anderson,"(-95.4285800019999, 31.906270003)"
-95.42842,31.90596,Anderson,"(-95.4284200039999, 31.905959998)"
-95.42834,31.90579,Anderson,"(-95.4283400009999, 31.905789995)"
-95.42831,31.90554,Anderson,"(-95.4283099989999, 31.905539998)"
-95.42839999,31.90537,Anderson,"(-95.4283999949999, 31.905369999)"
-95.42854,31.90519,Anderson,"(-95.4285399979999, 31.905190003)"
-95.42872,31.90504,Anderson,"(-95.4287200029999, 31.905040001)"
-95.42888,31.90491,Anderson,"(-95.4288799979999, 31.904909999)"
-95.42924,31.90469,Anderson,"(-95.4292400009999, 31.904689999)"
-95.42942,31.90468,Anderson,"(-95.4294200009999, 31.904679999)"
-95.42948,31.90467,Anderson,"(-95.4294799979999, 31.904669999)"
-95.42987,31.90466,Anderson,"(-95.4298699999999, 31.90466)"
-95.43024,31.90461,Anderson,"(-95.4302399979999, 31.904609995)"
-95.43034,31.90457,Anderson,"(-95.4303400029999, 31.904569997)"
-95.43045,31.90454,Anderson,"(-95.4304499989999, 31.90454)"
-95.4306,31.90433,Anderson,"(-95.4305999959999, 31.904329999)"
-95.43058,31.90417,Anderson,"(-95.4305800009999, 31.904169997)"
-95.43044,31.90396,Anderson,"(-95.4304399989999, 31.903960004)"
-95.43001,31.90349,Anderson,"(-95.4300100009999, 31.903489999)"
-95.42951,31.90296,Anderson,"(-95.4295099999999, 31.902960002)"
-95.42923,31.90253,Anderson,"(-95.4292300019999, 31.902530003)"
-95.4291,31.90232,Anderson,"(-95.4290999969999, 31.902319999)"
-95.42899,31.90170001,Anderson,"(-95.4289899959999, 31.901700005)"
-95.42903,31.90147,Anderson,"(-95.4290299999999, 31.90147)"
-95.42911,31.90133,Anderson,"(-95.4291099989999, 31.901329996)"
-95.42932,31.90118,Anderson,"(-95.4293200019999, 31.901180002)"
-95.42963,31.90109,Anderson,"(-95.4296299989999, 31.901090002)"
-95.43007,31.90114,Anderson,"(-95.4300699989999, 31.901139997)"
-95.43029,31.9012,Anderson,"(-95.4302899979999, 31.901199997)"
-95.43073,31.90132,Anderson,"(-95.4307300009999, 31.901319998)"
-95.43109,31.90162,Anderson,"(-95.4310900039999, 31.901619998)"
-95.43138,31.90191,Anderson,"(-95.4313800019999, 31.901910001)"
-95.43149001,31.9022,Anderson,"(-95.4314900059999, 31.9022)"
-95.43128,31.90257,Anderson,"(-95.4312800019999, 31.902569995)"
-95.43131,31.90293,Anderson,"(-95.4313100009999, 31.90293)"
-95.43156,31.90309,Anderson,"(-95.4315600009999, 31.903089997)"
-95.4318,31.9031,Anderson,"(-95.4318000029999, 31.903100003)"
-95.43211,31.90308,Anderson,"(-95.4321099999999, 31.903080002)"
-95.43227,31.90307,Anderson,"(-95.4322699979999, 31.903070001)"
-95.43243,31.90301,Anderson,"(-95.4324299999999, 31.903009999)"
-95.43258,31.90295,Anderson,"(-95.4325799989999, 31.902949996)"
-95.43273,31.90275,Anderson,"(-95.4327300029999, 31.90275)"
-95.43306,31.90256,Anderson,"(-95.4330599969999, 31.902560001)"
-95.43333,31.9024,Anderson,"(-95.4333299979999, 31.9024)"
-95.43342,31.90235,Anderson,"(-95.4334200009999, 31.902350002)"
-95.43358,31.90232,Anderson,"(-95.4335799999999, 31.902320003)"
-95.43371,31.9023,Anderson,"(-95.4337099979999, 31.902300002)"
-95.4338,31.90231,Anderson,"(-95.4337999979999, 31.902310001)"
-95.43393,31.90234,Anderson,"(-95.4339299979999, 31.902340001)"
-95.43404,31.90243,Anderson,"(-95.4340399969999, 31.902430002)"
-95.43418,31.90256,Anderson,"(-95.4341799979999, 31.902559996)"
-95.43443,31.90276,Anderson,"(-95.4344300019999, 31.902760003)"
-95.4348,31.90282,Anderson,"(-95.4347999959999, 31.902819995)"
-95.43491,31.90282,Anderson,"(-95.4349099989999, 31.902819999)"
-95.43511,31.90285,Anderson,"(-95.4351099999999, 31.902849999)"
-95.43526,31.90281,Anderson,"(-95.4352600009999, 31.90281)"
-95.43536,31.90279,Anderson,"(-95.4353599979999, 31.90279)"
-95.43542,31.90252,Anderson,"(-95.4354199969999, 31.90252)"
-95.43534,31.90208,Anderson,"(-95.4353399989999, 31.902080003)"
-95.43536,31.90189,Anderson,"(-95.4353599959999, 31.90189)"
-95.4354,31.9017,Anderson,"(-95.4353999969999, 31.901699998)"
-95.43553,31.90164,Anderson,"(-95.4355299999999, 31.901639995)"
-95.43561,31.90165,Anderson,"(-95.4356099969999, 31.901650003)"
-95.43578999,31.90167,Anderson,"(-95.4357899949999, 31.901670004)"
-95.4359,31.90167,Anderson,"(-95.4358999969999, 31.901669996)"
-95.43611,31.90169,Anderson,"(-95.4361100019999, 31.901689999)"
-95.43658,31.90187,Anderson,"(-95.4365799969999, 31.90187)"
-95.43668,31.90192,Anderson,"(-95.4366799999999, 31.901920003)"
-95.4369,31.90201,Anderson,"(-95.4369000029999, 31.902010003)"
-95.43719,31.90198,Anderson,"(-95.4371900009999, 31.901979999)"
-95.4374,31.90183,Anderson,"(-95.4374000049999, 31.901830003)"
-95.43755,31.90167,Anderson,"(-95.4375500039999, 31.901670001)"
-95.43757,31.90138,Anderson,"(-95.4375700009999, 31.90138)"
-95.43749,31.90119,Anderson,"(-95.4374899999999, 31.901190001)"
-95.43741,31.90104,Anderson,"(-95.4374099959999, 31.901039997)"
-95.4372,31.90084,Anderson,"(-95.4371999989999, 31.900840004)"
-95.43711,31.90059,Anderson,"(-95.4371100039999, 31.900590001)"
-95.43705,31.90041,Anderson,"(-95.4370500049999, 31.900409999)"
-95.43704,31.90014,Anderson,"(-95.4370399999999, 31.900139998)"
-95.43708,31.8997,Anderson,"(-95.4370800039999, 31.8997)"
-95.43736,31.89899,Anderson,"(-95.4373600019999, 31.898990001)"
-95.43759,31.89847,Anderson,"(-95.4375900039999, 31.898469998)"
-95.4377,31.89825,Anderson,"(-95.4376999959999, 31.898250002)"
-95.43764,31.89806,Anderson,"(-95.4376400009999, 31.898059998)"
-95.43757,31.89786,Anderson,"(-95.4375699969999, 31.897859998)"
-95.43755,31.89778,Anderson,"(-95.4375500019999, 31.897780002)"
-95.43751,31.89765,Anderson,"(-95.4375099989999, 31.897649997)"
-95.43733,31.89741,Anderson,"(-95.4373300019999, 31.89741)"
-95.43701,31.89725,Anderson,"(-95.4370100009999, 31.897249999)"
-95.43668,31.89716,Anderson,"(-95.4366799989999, 31.89716)"
-95.43661,31.89713,Anderson,"(-95.4366100039999, 31.897130002)"
-95.43637999,31.89709,Anderson,"(-95.4363799949999, 31.89709)"
-95.43626,31.89712,Anderson,"(-95.4362600019999, 31.897119996)"
-95.43597,31.8972,Anderson,"(-95.4359700029999, 31.8972)"
-95.43569,31.89723,Anderson,"(-95.4356900029999, 31.897229997)"
-95.43537,31.89738,Anderson,"(-95.4353699969999, 31.897380003)"
-95.43517,31.89745,Anderson,"(-95.4351699999999, 31.897449996)"
-95.43502,31.89743,Anderson,"(-95.4350200039999, 31.897430002)"
-95.43491999,31.89728,Anderson,"(-95.4349199949999, 31.897279999)"
-95.43486,31.89697,Anderson,"(-95.4348600049999, 31.896969999)"
-95.43488,31.89654,Anderson,"(-95.4348799979999, 31.896539999)"
-95.43485,31.89635,Anderson,"(-95.4348499979999, 31.896349997)"
-95.43482,31.89615999,Anderson,"(-95.4348200029999, 31.896159994)"
-95.43473,31.89585,Anderson,"(-95.4347300019999, 31.895849997)"
-95.43468,31.89558,Anderson,"(-95.4346800039999, 31.895579996)"
-95.43474999,31.89527,Anderson,"(-95.4347499949999, 31.895269998)"
-95.4348,31.89506,Anderson,"(-95.4348000039999, 31.89506)"
-95.43485,31.89495,Anderson,"(-95.4348500019999, 31.894950004)"
-95.4351,31.89492,Anderson,"(-95.4351000029999, 31.894920001)"
-95.4352,31.89496,Anderson,"(-95.4352000029999, 31.894959999)"
-95.43533,31.89509,Anderson,"(-95.4353300039999, 31.895090001)"
-95.43553,31.89534,Anderson,"(-95.4355299969999, 31.895339999)"
-95.43562,31.89548,Anderson,"(-95.4356199999999, 31.89548)"
-95.43573,31.8956,Anderson,"(-95.4357299979999, 31.895599999)"
-95.43607999,31.89585,Anderson,"(-95.4360799949999, 31.895850001)"
-95.4363,31.89595,Anderson,"(-95.4363000039999, 31.895950002)"
-95.43639,31.89598,Anderson,"(-95.4363899959999, 31.895980002)"
-95.43645,31.89601,Anderson,"(-95.4364499999999, 31.896009995)"
-95.43659,31.89598,Anderson,"(-95.4365900009999, 31.89598)"
-95.43668,31.89593,Anderson,"(-95.4366800019999, 31.895930001)"
-95.43676,31.89583,Anderson,"(-95.4367600039999, 31.895830003)"
-95.43684,31.89579,Anderson,"(-95.4368399989999, 31.895790003)"
-95.43693,31.89575,Anderson,"(-95.4369300009999, 31.895749999)"
-95.43701999,31.8957,Anderson,"(-95.4370199949999, 31.895700002)"
-95.4371,31.89566,Anderson,"(-95.4371000019999, 31.895660003)"
-95.43714,31.89558,Anderson,"(-95.4371399999999, 31.895579997)"
-95.43714,31.89533,Anderson,"(-95.4371400009999, 31.895329998)"
-95.43711,31.89502,Anderson,"(-95.4371099979999, 31.895019996)"
-95.43694,31.8945,Anderson,"(-95.4369399989999, 31.894500002)"
-95.43687,31.89433,Anderson,"(-95.4368700039999, 31.89433)"
-95.43668,31.89427,Anderson,"(-95.4366799989999, 31.894269999)"
-95.43657,31.89426,Anderson,"(-95.4365700029999, 31.89426)"
-95.4363,31.89437,Anderson,"(-95.4362999969999, 31.89437)"
-95.43601,31.8945,Anderson,"(-95.4360100029999, 31.894500001)"
-95.43586,31.89454,Anderson,"(-95.4358599979999, 31.894539999)"
-95.43568,31.89457,Anderson,"(-95.4356799979999, 31.894569999)"
-95.43553,31.89457,Anderson,"(-95.4355299969999, 31.894569999)"
-95.43540999,31.89457,Anderson,"(-95.4354099949999, 31.894569999)"
-95.4353,31.89454,Anderson,"(-95.4353000029999, 31.894539997)"
-95.43510999,31.89447,Anderson,"(-95.4351099949999, 31.894470002)"
-95.43462,31.89423,Anderson,"(-95.4346200029999, 31.894230001)"
-95.43415,31.89412,Anderson,"(-95.4341499999999, 31.894119995)"
-95.43374,31.89406,Anderson,"(-95.4337400029999, 31.894060001)"
-95.43358,31.89405,Anderson,"(-95.4335799999999, 31.894049999)"
-95.4335,31.89405,Anderson,"(-95.4334999999999, 31.894049997)"
-95.43312,31.89393,Anderson,"(-95.4331199999999, 31.893929996)"
-95.43286,31.89385,Anderson,"(-95.4328600009999, 31.89385)"
-95.4328,31.89383,Anderson,"(-95.4328000009999, 31.893829997)"
-95.43262,31.89375,Anderson,"(-95.4326200029999, 31.893749998)"
-95.43201,31.89321,Anderson,"(-95.4320099969999, 31.893209998)"
-95.43156,31.89292,Anderson,"(-95.4315600049999, 31.892919998)"
-95.43138,31.89279,Anderson,"(-95.4313800039999, 31.892789997)"
-95.43131,31.89273,Anderson,"(-95.4313100039999, 31.892730002)"
-95.43113,31.89245,Anderson,"(-95.4311300019999, 31.892449999)"
-95.43111,31.89228001,Anderson,"(-95.4311099959999, 31.892280005)"
-95.43117,31.89193,Anderson,"(-95.4311699959999, 31.891929999)"
-95.4314,31.89138,Anderson,"(-95.4313999999999, 31.891379996)"
-95.43154,31.89119,Anderson,"(-95.4315399989999, 31.891190001)"
-95.43161,31.89109,Anderson,"(-95.4316100009999, 31.89109)"
-95.4318,31.89098,Anderson,"(-95.4317999989999, 31.890980001)"
-95.43187,31.89095,Anderson,"(-95.4318700039999, 31.89095)"
-95.43199,31.89088,Anderson,"(-95.4319900049999, 31.890879998)"
-95.43226,31.89082,Anderson,"(-95.4322599999999, 31.890820003)"
-95.43253,31.89078,Anderson,"(-95.4325300049999, 31.890779999)"
-95.43262,31.89072,Anderson,"(-95.4326199969999, 31.890720001)"
-95.43266999,31.89067,Anderson,"(-95.4326699949999, 31.890669999)"
-95.43281,31.89042,Anderson,"(-95.4328100009999, 31.890419995)"
-95.43285,31.88977,Anderson,"(-95.4328500019999, 31.889770003)"
-95.43266,31.88947,Anderson,"(-95.4326599979999, 31.889470003)"
-95.43259,31.88917,Anderson,"(-95.4325900019999, 31.88917)"
-95.43263,31.88893,Anderson,"(-95.4326300019999, 31.888929998)"
-95.43283,31.88849,Anderson,"(-95.4328300029999, 31.888489998)"
-95.43297,31.88821,Anderson,"(-95.4329700009999, 31.888209995)"
-95.43311,31.88804,Anderson,"(-95.4331100009999, 31.888040002)"
-95.43321,31.88777,Anderson,"(-95.4332100009999, 31.88777)"
-95.43318,31.88756,Anderson,"(-95.4331799979999, 31.887559999)"
-95.43312,31.88724,Anderson,"(-95.4331199989999, 31.887239999)"
-95.43306,31.88694,Anderson,"(-95.4330599979999, 31.886939999)"
-95.43286,31.88665,Anderson,"(-95.4328599989999, 31.88665)"
-95.43253,31.88635,Anderson,"(-95.4325300019999, 31.886350001)"
-95.43244,31.88627,Anderson,"(-95.4324400019999, 31.886270001)"
-95.43208,31.88593,Anderson,"(-95.4320800049999, 31.885929997)"
-95.43190999,31.88582,Anderson,"(-95.4319099949999, 31.885820003)"
-95.43163,31.88547,Anderson,"(-95.4316300009999, 31.885470002)"
-95.43144,31.88493,Anderson,"(-95.4314400019999, 31.884929997)"
-95.43136779,31.88462449,Anderson,"(-95.4313677899999, 31.884624487)"
-95.43131,31.88438,Anderson,"(-95.4313100009999, 31.884379998)"
-95.43118,31.88379,Anderson,"(-95.4311800019999, 31.883790003)"
-95.43121,31.88351999,Anderson,"(-95.4312099999999, 31.883519994)"
-95.43126,31.88334,Anderson,"(-95.4312600039999, 31.883340001)"
-95.43138,31.88321,Anderson,"(-95.4313799989999, 31.883210002)"
-95.43148,31.88314,Anderson,"(-95.4314799999999, 31.883140003)"
-95.43154,31.8831,Anderson,"(-95.4315399979999, 31.883099999)"
-95.4317,31.88305,Anderson,"(-95.4316999989999, 31.88305)"
-95.43191,31.88297,Anderson,"(-95.4319100039999, 31.882970003)"
-95.432,31.8829,Anderson,"(-95.4320000049999, 31.882899998)"
-95.43208,31.88284,Anderson,"(-95.4320799999999, 31.882840003)"
-95.43211999,31.88279,Anderson,"(-95.4321199949999, 31.882789995)"
-95.43219,31.88267,Anderson,"(-95.4321899999999, 31.88267)"
-95.43218,31.88226,Anderson,"(-95.4321799969999, 31.882259999)"
-95.43217999,31.88171,Anderson,"(-95.4321799939999, 31.881709999)"
-95.43223999,31.8814,Anderson,"(-95.4322399949999, 31.881399998)"
-95.4322,31.88105,Anderson,"(-95.4321999999999, 31.881050001)"
-95.43183,31.88075,Anderson,"(-95.4318299989999, 31.88075)"
-95.43154,31.88056,Anderson,"(-95.4315399979999, 31.880560002)"
-95.43144,31.88048,Anderson,"(-95.4314399979999, 31.88048)"
-95.43139,31.88044,Anderson,"(-95.4313899969999, 31.880440004)"
-95.43121,31.88032,Anderson,"(-95.4312100029999, 31.880319997)"
-95.43105,31.8802,Anderson,"(-95.4310500029999, 31.880200002)"
-95.43096,31.88003,Anderson,"(-95.4309599979999, 31.880030003)"
-95.43116,31.87983,Anderson,"(-95.4311599999999, 31.879829998)"
-95.43126,31.87967,Anderson,"(-95.4312599989999, 31.879669998)"
-95.4315,31.87944,Anderson,"(-95.4315000019999, 31.879440004)"
-95.43173,31.87925,Anderson,"(-95.4317299969999, 31.879249998)"
-95.432,31.87906,Anderson,"(-95.4320000029999, 31.879060002)"
-95.43208,31.87899,Anderson,"(-95.4320799999999, 31.878990001)"
-95.43218999,31.87891,Anderson,"(-95.4321899949999, 31.87891)"
-95.4324,31.87881,Anderson,"(-95.4323999999999, 31.87881)"
-95.43255,31.87874,Anderson,"(-95.4325499969999, 31.87874)"
-95.43272,31.87869,Anderson,"(-95.4327200019999, 31.878690003)"
-95.43292,31.87862,Anderson,"(-95.4329199979999, 31.878619998)"
-95.43301,31.87858,Anderson,"(-95.4330100039999, 31.878580002)"
-95.43308,31.87854,Anderson,"(-95.4330800039999, 31.878539999)"
-95.43311,31.87847,Anderson,"(-95.4331099999999, 31.878470002)"
-95.43303,31.87835,Anderson,"(-95.4330300009999, 31.878349998)"
-95.43275,31.87815,Anderson,"(-95.4327499969999, 31.878150001)"
-95.43229,31.87803,Anderson,"(-95.4322899999999, 31.878030001)"
-95.43207,31.87794,Anderson,"(-95.4320700019999, 31.87794)"
-95.43192,31.87773,Anderson,"(-95.4319199979999, 31.877729999)"
-95.43184,31.87752,Anderson,"(-95.4318400009999, 31.877520002)"
-95.4319,31.87702,Anderson,"(-95.4318999999999, 31.877019998)"
-95.43199,31.87654,Anderson,"(-95.4319899989999, 31.876540003)"
-95.43207999,31.87639,Anderson,"(-95.4320799949999, 31.876390002)"
-95.43218,31.87632,Anderson,"(-95.4321799969999, 31.876319998)"
-95.43224,31.87629,Anderson,"(-95.4322400019999, 31.876289996)"
-95.43231,31.87629,Anderson,"(-95.4323099999999, 31.876289998)"
-95.43237,31.8763,Anderson,"(-95.4323699999999, 31.876299996)"
-95.43259,31.87654,Anderson,"(-95.4325899989999, 31.876539997)"
-95.43272,31.87665,Anderson,"(-95.4327199989999, 31.876650001)"
-95.43296,31.87681,Anderson,"(-95.4329599999999, 31.876809998)"
-95.43311,31.87685,Anderson,"(-95.4331099969999, 31.876849999)"
-95.43318,31.87687,Anderson,"(-95.4331799989999, 31.876869999)"
-95.43343,31.87687,Anderson,"(-95.4334299999999, 31.876869999)"
-95.43365,31.87684,Anderson,"(-95.4336500039999, 31.876839997)"
-95.43373,31.87676,Anderson,"(-95.4337300019999, 31.876759998)"
-95.43379,31.87672,Anderson,"(-95.4337899999999, 31.876719999)"
-95.43391,31.87663,Anderson,"(-95.4339100019999, 31.876630003)"
-95.43393,31.87638,Anderson,"(-95.4339299989999, 31.87638)"
-95.43388,31.87628,Anderson,"(-95.4338800029999, 31.876280002)"
-95.43362,31.87609,Anderson,"(-95.4336200039999, 31.87609)"
-95.43358,31.87605,Anderson,"(-95.4335799989999, 31.876050001)"
-95.43336,31.87585,Anderson,"(-95.4333599989999, 31.875849996)"
-95.43325,31.87566,Anderson,"(-95.4332500039999, 31.875660004)"
-95.43327,31.87548,Anderson,"(-95.4332700009999, 31.875480001)"
-95.43333,31.8753,Anderson,"(-95.4333299959999, 31.875300002)"
-95.43349,31.87522,Anderson,"(-95.4334900029999, 31.875220002)"
-95.43362,31.87512,Anderson,"(-95.4336200009999, 31.875119996)"
-95.43382,31.87504,Anderson,"(-95.4338200049999, 31.875040004)"
-95.43404,31.87496,Anderson,"(-95.4340400029999, 31.874959995)"
-95.43416,31.87481,Anderson,"(-95.4341599989999, 31.874809995)"
-95.43415,31.87465,Anderson,"(-95.4341500019999, 31.874650003)"
-95.43403,31.8745,Anderson,"(-95.4340299969999, 31.8745)"
-95.43387,31.87442,Anderson,"(-95.4338699979999, 31.874419999)"
-95.43372,31.87422,Anderson,"(-95.4337200039999, 31.874220001)"
-95.43379,31.87403,Anderson,"(-95.4337900019999, 31.874029997)"
-95.43403,31.87376,Anderson,"(-95.4340299959999, 31.873759997)"
-95.43419,31.87358,Anderson,"(-95.4341900019999, 31.873579998)"
-95.43429,31.87348,Anderson,"(-95.4342900039999, 31.873480004)"
-95.43439,31.8734,Anderson,"(-95.4343899979999, 31.873399997)"
-95.4346,31.87331,Anderson,"(-95.4346000019999, 31.873309999)"
-95.43482,31.87324,Anderson,"(-95.4348199959999, 31.873239999)"
-95.43491,31.87323,Anderson,"(-95.4349100019999, 31.873229996)"
-95.43504,31.87322,Anderson,"(-95.4350399989999, 31.873220001)"
-95.43524,31.87336,Anderson,"(-95.4352400049999, 31.873359998)"
-95.43541,31.87352,Anderson,"(-95.4354099989999, 31.87352)"
-95.43562,31.87364,Anderson,"(-95.4356200019999, 31.87364)"
-95.43569,31.87368,Anderson,"(-95.4356899989999, 31.873680001)"
-95.43603,31.87382,Anderson,"(-95.4360300009999, 31.873819998)"
-95.43608,31.87384,Anderson,"(-95.4360800009999, 31.87384)"
-95.43626,31.8739,Anderson,"(-95.4362600029999, 31.873899998)"
-95.43644,31.87399,Anderson,"(-95.4364399979999, 31.873989999)"
-95.43652,31.87404,Anderson,"(-95.4365200029999, 31.874040003)"
-95.43682,31.8742,Anderson,"(-95.4368200009999, 31.874199998)"
-95.43685,31.87439,Anderson,"(-95.4368500039999, 31.874390001)"
-95.43675999,31.87474,Anderson,"(-95.4367599949999, 31.874739997)"
-95.43658,31.87518,Anderson,"(-95.4365800039999, 31.875179999)"
-95.43656,31.87548,Anderson,"(-95.4365599999999, 31.875479999)"
-95.43657,31.87566,Anderson,"(-95.4365699959999, 31.875659999)"
-95.43687,31.87593,Anderson,"(-95.4368700009999, 31.875929999)"
-95.43711,31.87607,Anderson,"(-95.4371100019999, 31.876070001)"
-95.43765,31.87619,Anderson,"(-95.4376499979999, 31.87619)"
-95.43782,31.87624,Anderson,"(-95.4378200029999, 31.876240004)"
-95.43812,31.87634,Anderson,"(-95.4381199969999, 31.876340002)"
-95.43842,31.87644,Anderson,"(-95.4384200029999, 31.87644)"
-95.43872,31.87639,Anderson,"(-95.4387200039999, 31.876389997)"
-95.43881,31.87628,Anderson,"(-95.4388099969999, 31.876280002)"
-95.43892,31.87612,Anderson,"(-95.4389199969999, 31.876119997)"
-95.43898,31.8758,Anderson,"(-95.4389799959999, 31.875800002)"
-95.43905,31.87545,Anderson,"(-95.4390499979999, 31.875450003)"
-95.43872,31.87527,Anderson,"(-95.4387199979999, 31.875270004)"
-95.43811,31.87511,Anderson,"(-95.4381099999999, 31.875109998)"
-95.43779,31.87496,Anderson,"(-95.4377899959999, 31.874960001)"
-95.43762,31.87488,Anderson,"(-95.4376199979999, 31.874880004)"
-95.43752,31.87462,Anderson,"(-95.4375199999999, 31.874619996)"
-95.43751,31.87438,Anderson,"(-95.4375099959999, 31.874379997)"
-95.43765,31.8741,Anderson,"(-95.4376500019999, 31.874100004)"
-95.43774,31.87389,Anderson,"(-95.4377400049999, 31.873890002)"
-95.43796,31.87376,Anderson,"(-95.4379600039999, 31.873759999)"
-95.43839,31.87367,Anderson,"(-95.4383899989999, 31.873669999)"
-95.43875,31.87354,Anderson,"(-95.4387500019999, 31.873539998)"
-95.43936,31.87326,Anderson,"(-95.4393599989999, 31.873259995)"
-95.43952,31.87303001,Anderson,"(-95.4395200009999, 31.873030005)"
-95.43951,31.87268,Anderson,"(-95.4395100039999, 31.872680001)"
-95.43949,31.8721,Anderson,"(-95.4394900029999, 31.8721)"
-95.43942,31.8718,Anderson,"(-95.4394199979999, 31.8718)"
-95.43936,31.87168,Anderson,"(-95.4393600019999, 31.871679999)"
-95.43924,31.87162,Anderson,"(-95.4392399979999, 31.87162)"
-95.43907,31.87162,Anderson,"(-95.4390699989999, 31.87162)"
-95.43891001,31.87177,Anderson,"(-95.4389100059999, 31.871770001)"
-95.43847,31.87191,Anderson,"(-95.4384699999999, 31.871910001)"
-95.43825,31.87193,Anderson,"(-95.4382500019999, 31.871930001)"
-95.43812,31.87193,Anderson,"(-95.4381199989999, 31.871929997)"
-95.43793,31.87193,Anderson,"(-95.4379299999999, 31.871929999)"
-95.43773,31.87187,Anderson,"(-95.4377299969999, 31.871869997)"
-95.43762,31.87184,Anderson,"(-95.4376200049999, 31.871840001)"
-95.43765,31.87158,Anderson,"(-95.4376500009999, 31.871579995)"
-95.4378,31.87139,Anderson,"(-95.4377999999999, 31.871390001)"
-95.43784,31.87125,Anderson,"(-95.4378399999999, 31.871249999)"
-95.43784,31.87102,Anderson,"(-95.4378400029999, 31.871020003)"
-95.43791,31.87091,Anderson,"(-95.4379099999999, 31.870909997)"
-95.43807,31.87083,Anderson,"(-95.4380700009999, 31.870829996)"
-95.4382,31.87077,Anderson,"(-95.4381999979999, 31.870769997)"
-95.43834,31.87068,Anderson,"(-95.4383400029999, 31.870679999)"
-95.43841,31.87055,Anderson,"(-95.4384099999999, 31.870550001)"
-95.43842,31.87043,Anderson,"(-95.4384199989999, 31.870430004)"
-95.43838,31.87034,Anderson,"(-95.4383800029999, 31.87034)"
-95.43825,31.8703,Anderson,"(-95.4382499999999, 31.870299999)"
-95.4382,31.87028,Anderson,"(-95.4382000009999, 31.87028)"
-95.43805,31.87033,Anderson,"(-95.4380499999999, 31.87033)"
